sample_date,period,station_id,station_code,station_name,sample_code,status,depth1,depth2,parameter,flag,value,unit,parameter_unit,outlier
2021-04-10,New,40378,NORERAN,Ranaelva,NR-2021-02373,Entered,0.0,0.0,Konduktivitet,,12.2,mS/m,Konduktivitet_mS/m,1
2021-04-10,New,40378,NORERAN,Ranaelva,NR-2021-02373,Entered,0.0,0.0,Turbiditet,,0.9,FNU,Turbiditet_FNU,1
2021-03-09,New,40379,NORERØS,Røssåga,NR-2021-01018,Authorised,0.0,0.0,Konduktivitet,,4.9,mS/m,Konduktivitet_mS/m,1
2021-02-16,New,40379,NORERØS,Røssåga,NR-2021-00648,Authorised,0.0,0.0,TSM,,1.26,mg/l,TSM_mg/l,1
2021-03-09,New,40379,NORERØS,Røssåga,NR-2021-01018,Authorised,0.0,0.0,Turbiditet,,0.46,FNU,Turbiditet_FNU,1
2021-02-16,New,40379,NORERØS,Røssåga,NR-2021-00648,Authorised,0.0,0.0,pH,,7.27,None,pH_None,1
2021-04-10,New,40379,NORERØS,Røssåga,NR-2021-02371,Entered,0.0,0.0,pH,,7.25,None,pH_None,1
2021-01-26,New,40380,NTREVER,Verdalselva,NR-2021-00637,Authorised,0.0,0.0,NH4-N,,22.0,µg/l,NH4-N_µg/l,1
2021-02-01,New,40380,NTREVER,Verdalselva,NR-2021-01007,Canceled,0.0,0.0,TOC,,0.0,mg/l,TOC_mg/l,1
2021-02-01,New,40380,NTREVER,Verdalselva,NR-2021-01007,Canceled,0.0,0.0,pH,,0.0,None,pH_None,1
2021-04-06,New,40392,STREGAU,Gaula,NR-2021-02359,Entered,0.0,0.0,Konduktivitet,,25.7,mS/m,Konduktivitet_mS/m,1
2021-03-02,New,40392,STREGAU,Gaula,NR-2021-01175,Authorised,0.0,0.0,PO4-P,,30.0,µg/l,PO4-P_µg/l,1
2021-04-06,New,40392,STREGAU,Gaula,NR-2021-02359,Entered,0.0,0.0,PO4-P,,15.0,µg/l,PO4-P_µg/l,1
2021-03-02,New,40392,STREGAU,Gaula,NR-2021-01175,Authorised,0.0,0.0,Si,,2.87,mg/l,Si_mg/l,1
2021-03-02,New,40392,STREGAU,Gaula,NR-2021-01175,Authorised,0.0,0.0,TOC,,9.1,mg/l,TOC_mg/l,1
2021-03-02,New,40392,STREGAU,Gaula,NR-2021-01175,Authorised,0.0,0.0,TOTP,,45.0,µg/l,TOTP_µg/l,1
2021-04-06,New,40392,STREGAU,Gaula,NR-2021-02359,Entered,0.0,0.0,TOTP,,21.0,µg/l,TOTP_µg/l,1
2021-03-02,New,40392,STREGAU,Gaula,NR-2021-01175,Authorised,0.0,0.0,TSM,,29.7,mg/l,TSM_mg/l,1
2021-04-06,New,40392,STREGAU,Gaula,NR-2021-02359,Entered,0.0,0.0,TSM,,20.6,mg/l,TSM_mg/l,1
2021-03-02,New,40392,STREGAU,Gaula,NR-2021-01175,Authorised,0.0,0.0,Turbiditet,,23.0,FNU,Turbiditet_FNU,1
2021-04-06,New,40392,STREGAU,Gaula,NR-2021-02359,Entered,0.0,0.0,Turbiditet,,27.0,FNU,Turbiditet_FNU,1
2021-03-02,New,40392,STREGAU,Gaula,NR-2021-01175,Rejected,0.0,0.0,pH,,7.05,None,pH_None,1
2021-02-22,New,69417,HEDETRY3,Trysilelva v/Søndre Løberg,NR-2021-00988,Authorised,0.0,0.0,NH4-N,,5.0,µg/l,NH4-N_µg/l,1
2021-02-22,New,69417,HEDETRY3,Trysilelva v/Søndre Løberg,NR-2021-00988,Authorised,0.0,0.0,NH4-N,,5.0,µg/l,NH4-N_µg/l,1
2021-03-01,New,69417,HEDETRY3,Trysilelva v/Søndre Løberg,NR-2021-01164,Authorised,0.0,0.0,NH4-N,,45.0,µg/l,NH4-N_µg/l,1
2021-03-01,New,69417,HEDETRY3,Trysilelva v/Søndre Løberg,NR-2021-01164,Authorised,0.0,0.0,NH4-N,,45.0,µg/l,NH4-N_µg/l,1
2021-02-22,New,69417,HEDETRY3,Trysilelva v/Søndre Løberg,NR-2021-00988,Authorised,0.0,0.0,TOTN,,250.0,µg/l,TOTN_µg/l,1
2021-02-22,New,69417,HEDETRY3,Trysilelva v/Søndre Løberg,NR-2021-00988,Authorised,0.0,0.0,TOTN,,250.0,µg/l,TOTN_µg/l,1
2021-03-01,New,69417,HEDETRY3,Trysilelva v/Søndre Løberg,NR-2021-01164,Rejected,0.0,0.0,pH,,5.79,None,pH_None,1
2021-03-01,New,69417,HEDETRY3,Trysilelva v/Søndre Løberg,NR-2021-01164,Rejected,0.0,0.0,pH,,5.79,None,pH_None,1
2021-02-22,New,69443,HEDETRY2,Trysilelva v/Skjærholmen,NR-2021-00989,Authorised,0.0,0.0,NH4-N,,26.0,µg/l,NH4-N_µg/l,1
2021-02-22,New,69443,HEDETRY2,Trysilelva v/Skjærholmen,NR-2021-00989,Authorised,0.0,0.0,NH4-N,,26.0,µg/l,NH4-N_µg/l,1
2021-03-01,New,69443,HEDETRY2,Trysilelva v/Skjærholmen,NR-2021-01165,Authorised,0.0,0.0,NH4-N,,44.0,µg/l,NH4-N_µg/l,1
2021-03-01,New,69443,HEDETRY2,Trysilelva v/Skjærholmen,NR-2021-01165,Authorised,0.0,0.0,NH4-N,,44.0,µg/l,NH4-N_µg/l,1
2021-03-01,New,69443,HEDETRY2,Trysilelva v/Skjærholmen,NR-2021-01165,Rejected,0.0,0.0,pH,,6.62,None,pH_None,1
2021-03-01,New,69443,HEDETRY2,Trysilelva v/Skjærholmen,NR-2021-01165,Rejected,0.0,0.0,pH,,6.62,None,pH_None,1
2021-03-01,New,70610,MROEDRIX2,Driva v/Gjøra,NR-2021-01167,Authorised,0.0,0.0,PO4-P,,4.0,µg/l,PO4-P_µg/l,1
2021-03-01,New,70610,MROEDRIX2,Driva v/Gjøra,NR-2021-01167,Rejected,0.0,0.0,pH,,6.31,None,pH_None,1
2021-01-27,New,70611,MROESURX3,Surna v/Holtbrua,NR-2021-00622,Authorised,0.0,0.0,NH4-N,,150.0,µg/l,NH4-N_µg/l,1
2021-02-15,New,70611,MROESURX3,Surna v/Holtbrua,NR-2021-00992,Authorised,0.0,0.0,NH4-N,,33.0,µg/l,NH4-N_µg/l,1
2021-02-15,New,70611,MROESURX3,Surna v/Holtbrua,NR-2021-00992,Authorised,0.0,0.0,NO3-N,,650.0,µg/l,NO3-N_µg/l,1
2021-01-27,New,70611,MROESURX3,Surna v/Holtbrua,NR-2021-00622,Authorised,0.0,0.0,PO4-P,,4.0,µg/l,PO4-P_µg/l,1
2021-03-01,New,70611,MROESURX3,Surna v/Holtbrua,NR-2021-01168,Authorised,0.0,0.0,PO4-P,,13.0,µg/l,PO4-P_µg/l,1
2021-03-01,New,70611,MROESURX3,Surna v/Holtbrua,NR-2021-01168,Authorised,0.0,0.0,TOTP,,22.0,µg/l,TOTP_µg/l,1
2021-02-15,New,70611,MROESURX3,Surna v/Holtbrua,NR-2021-00992,Authorised,0.0,0.0,TSM,,1.29,mg/l,TSM_mg/l,1
2021-03-01,New,70611,MROESURX3,Surna v/Holtbrua,NR-2021-01168,Authorised,0.0,0.0,TSM,,6.71,mg/l,TSM_mg/l,1
2021-01-27,New,70611,MROESURX3,Surna v/Holtbrua,NR-2021-00622,Authorised,0.0,0.0,Turbiditet,,0.32,FNU,Turbiditet_FNU,1
2021-02-15,New,70611,MROESURX3,Surna v/Holtbrua,NR-2021-00992,Authorised,0.0,0.0,Turbiditet,,0.39,FNU,Turbiditet_FNU,1
2021-03-01,New,70611,MROESURX3,Surna v/Holtbrua,NR-2021-01168,Authorised,0.0,0.0,Turbiditet,,2.2,FNU,Turbiditet_FNU,1
2021-03-01,New,70611,MROESURX3,Surna v/Holtbrua,NR-2021-01168,Rejected,0.0,0.0,pH,,6.34,None,pH_None,1
2021-01-27,New,70612,MROESURX2,Surna v/Dønnem bru,NR-2021-00623,Authorised,0.0,0.0,PO4-P,,7.0,µg/l,PO4-P_µg/l,1
2021-02-15,New,70612,MROESURX2,Surna v/Dønnem bru,NR-2021-00993,Authorised,0.0,0.0,PO4-P,,8.0,µg/l,PO4-P_µg/l,1
2021-03-01,New,70612,MROESURX2,Surna v/Dønnem bru,NR-2021-01169,Authorised,0.0,0.0,PO4-P,,30.0,µg/l,PO4-P_µg/l,1
2021-01-27,New,70612,MROESURX2,Surna v/Dønnem bru,NR-2021-00623,Authorised,0.0,0.0,TOTP,,8.0,µg/l,TOTP_µg/l,1
2021-02-15,New,70612,MROESURX2,Surna v/Dønnem bru,NR-2021-00993,Authorised,0.0,0.0,TOTP,,10.0,µg/l,TOTP_µg/l,1
2021-03-01,New,70612,MROESURX2,Surna v/Dønnem bru,NR-2021-01169,Authorised,0.0,0.0,TOTP,,47.0,µg/l,TOTP_µg/l,1
2021-03-01,New,70612,MROESURX2,Surna v/Dønnem bru,NR-2021-01169,Authorised,0.0,0.0,TSM,,6.22,mg/l,TSM_mg/l,1
2021-03-01,New,70612,MROESURX2,Surna v/Dønnem bru,NR-2021-01169,Authorised,0.0,0.0,Turbiditet,,4.2,FNU,Turbiditet_FNU,1
2021-03-01,New,70612,MROESURX2,Surna v/Dønnem bru,NR-2021-01169,Rejected,0.0,0.0,pH,,6.47,None,pH_None,1
2021-03-01,New,70613,STREORKX3,Orkla v/Tjønnan bru,NR-2021-01171,Rejected,0.0,0.0,pH,,6.65,None,pH_None,1
2021-04-06,New,70613,STREORKX3,Orkla v/Tjønnan bru,NR-2021-02357,Entered,0.0,0.0,pH,,7.33,None,pH_None,1
2021-03-01,New,70614,STREORKX2,Orkla v/Dombu,NR-2021-01172,Authorised,0.0,0.0,NO3-N,,290.0,µg/l,NO3-N_µg/l,1
2021-03-01,New,70614,STREORKX2,Orkla v/Dombu,NR-2021-01172,Authorised,0.0,0.0,PO4-P,,7.0,µg/l,PO4-P_µg/l,1
2021-03-01,New,70614,STREORKX2,Orkla v/Dombu,NR-2021-01172,Authorised,0.0,0.0,TOTP,,15.0,µg/l,TOTP_µg/l,1
2021-03-01,New,70614,STREORKX2,Orkla v/Dombu,NR-2021-01172,Authorised,0.0,0.0,TSM,,2.82,mg/l,TSM_mg/l,1
2021-03-01,New,70614,STREORKX2,Orkla v/Dombu,NR-2021-01172,Authorised,0.0,0.0,Turbiditet,,1.6,FNU,Turbiditet_FNU,1
2021-03-01,New,70614,STREORKX2,Orkla v/Dombu,NR-2021-01172,Rejected,0.0,0.0,pH,,6.81,None,pH_None,1
2021-01-27,New,70615,STREGAUX3,Gaula v/Singsås brua,NR-2021-00627,Authorised,0.0,0.0,NH4-N,,6.0,µg/l,NH4-N_µg/l,1
2021-02-14,New,70615,STREGAUX3,Gaula v/Singsås brua,NR-2021-00997,Authorised,0.0,0.0,NH4-N,,13.0,µg/l,NH4-N_µg/l,1
2021-03-02,New,70615,STREGAUX3,Gaula v/Singsås brua,NR-2021-01173,Authorised,0.0,0.0,NH4-N,,4.0,µg/l,NH4-N_µg/l,1
2021-03-02,New,70615,STREGAUX3,Gaula v/Singsås brua,NR-2021-01173,Authorised,0.0,0.0,PO4-P,,2.0,µg/l,PO4-P_µg/l,1
2021-03-02,New,70615,STREGAUX3,Gaula v/Singsås brua,NR-2021-01173,Authorised,0.0,0.0,TOC,,8.4,mg/l,TOC_mg/l,1
2021-03-02,New,70615,STREGAUX3,Gaula v/Singsås brua,NR-2021-01173,Authorised,0.0,0.0,TOTP,,12.0,µg/l,TOTP_µg/l,1
2021-03-02,New,70615,STREGAUX3,Gaula v/Singsås brua,NR-2021-01173,Authorised,0.0,0.0,TSM,,2.27,mg/l,TSM_mg/l,1
2021-03-02,New,70615,STREGAUX3,Gaula v/Singsås brua,NR-2021-01173,Authorised,0.0,0.0,Turbiditet,,1.0,FNU,Turbiditet_FNU,1
2021-04-06,New,70615,STREGAUX3,Gaula v/Singsås brua,NR-2021-02358,Entered,0.0,0.0,Turbiditet,,0.33,FNU,Turbiditet_FNU,1
2021-03-02,New,70615,STREGAUX3,Gaula v/Singsås brua,NR-2021-01173,Rejected,0.0,0.0,pH,,6.74,None,pH_None,1
2021-03-02,New,70616,STREGAUX2,Gaula v/Rostaden,NR-2021-01174,Authorised,0.0,0.0,PO4-P,,13.0,µg/l,PO4-P_µg/l,1
2021-03-02,New,70616,STREGAUX2,Gaula v/Rostaden,NR-2021-01174,Authorised,0.0,0.0,TOC,,6.7,mg/l,TOC_mg/l,1
2021-03-02,New,70616,STREGAUX2,Gaula v/Rostaden,NR-2021-01174,Authorised,0.0,0.0,TOTP,,26.0,µg/l,TOTP_µg/l,1
2021-03-02,New,70616,STREGAUX2,Gaula v/Rostaden,NR-2021-01174,Authorised,0.0,0.0,TSM,,5.84,mg/l,TSM_mg/l,1
2021-03-02,New,70616,STREGAUX2,Gaula v/Rostaden,NR-2021-01174,Authorised,0.0,0.0,Turbiditet,,4.0,FNU,Turbiditet_FNU,1
2021-03-02,New,70616,STREGAUX2,Gaula v/Rostaden,NR-2021-01174,Rejected,0.0,0.0,pH,,7.16,None,pH_None,1
2021-03-02,New,70617,STRENIDX3,Nidelva v/Svean bru,NR-2021-01176,Authorised,0.0,0.0,Konduktivitet,,3.29,mS/m,Konduktivitet_mS/m,1
2021-04-06,New,70617,STRENIDX3,Nidelva v/Svean bru,NR-2021-02360,Entered,0.0,0.0,Konduktivitet,,3.42,mS/m,Konduktivitet_mS/m,1
2021-03-02,New,70617,STRENIDX3,Nidelva v/Svean bru,NR-2021-01176,Authorised,0.0,0.0,NO3-N,,100.0,µg/l,NO3-N_µg/l,1
2021-04-06,New,70617,STRENIDX3,Nidelva v/Svean bru,NR-2021-02360,Entered,0.0,0.0,NO3-N,,120.0,µg/l,NO3-N_µg/l,1
2021-02-17,New,70617,STRENIDX3,Nidelva v/Svean bru,NR-2021-01000,Authorised,0.0,0.0,PO4-P,,5.0,µg/l,PO4-P_µg/l,1
2021-03-02,New,70617,STRENIDX3,Nidelva v/Svean bru,NR-2021-01176,Authorised,0.0,0.0,PO4-P,,2.0,µg/l,PO4-P_µg/l,1
2021-03-02,New,70617,STRENIDX3,Nidelva v/Svean bru,NR-2021-01176,Authorised,0.0,0.0,Si,,1.06,mg/l,Si_mg/l,1
2021-03-02,New,70617,STRENIDX3,Nidelva v/Svean bru,NR-2021-01176,Authorised,0.0,0.0,TOC,,4.0,mg/l,TOC_mg/l,1
2021-02-17,New,70617,STRENIDX3,Nidelva v/Svean bru,NR-2021-01000,Authorised,0.0,0.0,TOTP,,7.0,µg/l,TOTP_µg/l,1
2021-03-02,New,70617,STRENIDX3,Nidelva v/Svean bru,NR-2021-01176,Authorised,0.0,0.0,TOTP,,5.0,µg/l,TOTP_µg/l,1
2021-02-17,New,70617,STRENIDX3,Nidelva v/Svean bru,NR-2021-01000,Authorised,0.0,0.0,TSM,,5.22,mg/l,TSM_mg/l,1
2021-03-02,New,70617,STRENIDX3,Nidelva v/Svean bru,NR-2021-01176,Authorised,0.0,0.0,TSM,,2.35,mg/l,TSM_mg/l,1
2021-03-02,New,70617,STRENIDX3,Nidelva v/Svean bru,NR-2021-01176,Authorised,0.0,0.0,Turbiditet,,2.4,FNU,Turbiditet_FNU,1
